"frequency";"r ngspice/ac.v(out)";"i ngspice/ac.v(out)"
3.61083e+06;2.86983e-07;-5.60198e-07
3.61816e+06;-2.3576e-07;5.38912e-07
3.62548e+06;1.13056e-07;-5.18264e-07
3.63281e+06;-2.48668e-08;3.68356e-07
3.64013e+06;-1.41089e-07;-1.189e-07
3.64745e+06;3.13839e-07;-4.69094e-08
3.65478e+06;-3.3956e-07;-5.53412e-08
3.6621e+06;-1.66224e-07;5.73768e-08
3.66943e+06;2.64836e-07;5.92906e-07
3.67675e+06;4.6413e-07;-5.26925e-07
3.68407e+06;-3.81571e-07;-3.62033e-07
3.6914e+06;-5.4634e-07;4.51522e-07
3.69872e+06;8.03666e-07;4.63058e-07
3.70605e+06;1.23197e-07;-8.36015e-07
3.71337e+06;-4.33742e-07;-7.72558e-08
3.7207e+06;-5.66543e-07;1.70571e-07
3.72802e+06;4.15395e-07;7.25199e-07
3.73534e+06;3.683e-07;-7.03459e-08
3.74267e+06;2.46334e-07;-7.00581e-07
3.74999e+06;-3.62305e-07;3.42677e-07
3.75732e+06;-4.04044e-08;-4.34125e-07
3.76464e+06;1.38957e-07;2.36005e-07
3.77197e+06;-7.50043e-07;-1.86854e-07
3.77929e+06;6.74724e-07;8.83609e-07
3.78661e+06;2.68143e-07;-1.03383e-06
3.79394e+06;-1.11762e-06;3.04834e-07
3.80126e+06;9.91395e-07;9.27096e-07
3.80859e+06;9.14196e-08;-1.24707e-06
3.81591e+06;-5.31761e-07;4.61063e-07
3.82323e+06;1.12347e-08;-1.50684e-08
3.83056e+06;1.12059e-07;4.12011e-07
3.83788e+06;7.01924e-07;-2.13857e-07
3.84521e+06;-6.42958e-07;-8.58039e-07
3.85253e+06;-3.01824e-07;7.27338e-07
3.85986e+06;1.08899e-07;2.70266e-07
3.86718e+06;6.74089e-07;-1.49545e-07
3.8745e+06;-2.14172e-07;-4.80891e-07
3.88183e+06;-6.49808e-07;-1.47605e-07
3.88915e+06;1.12184e-07;1.05116e-06
3.89648e+06;6.23116e-07;-5.32643e-07
3.9038e+06;-4.71349e-08;1.19985e-07
3.91112e+06;7.84418e-08;-7.43202e-07
3.91845e+06;-7.83571e-07;1.10821e-07
3.92577e+06;-1.14001e-07;8.54228e-07
3.9331e+06;1.00953e-06;-1.79003e-07
3.94042e+06;-5.39707e-07;-3.97427e-07
3.94775e+06;3.19258e-07;7.55458e-08
3.95507e+06;-6.0382e-07;-1.58482e-07
3.96239e+06;3.89504e-07;2.85339e-07
3.96972e+06;-5.86333e-07;-8.36708e-08
3.97704e+06;6.87259e-07;7.64061e-07
3.98437e+06;5.42722e-08;-9.0507e-07
3.99169e+06;2.75748e-07;7.10664e-07
3.99902e+06;-2.08013e-07;-1.73252e-06
4.00634e+06;-1.12388e-06;1.55389e-06
4.01366e+06;1.20096e-06;-1.56145e-07
4.02099e+06;-5.24553e-07;-3.70922e-07
4.02831e+06;2.50691e-07;4.70531e-07
4.03564e+06;-2.16948e-07;-4.001e-07
4.04296e+06;5.27111e-07;5.80379e-07
4.05028e+06;-1.12063e-07;-1.08765e-06
4.05761e+06;-7.15997e-07;5.00629e-07
4.06493e+06;3.68353e-07;5.04859e-07
4.07226e+06;4.88875e-07;-4.60097e-07
4.07958e+06;-5.6887e-07;-5.66629e-08
4.08691e+06;3.77075e-07;-9.38752e-08
4.09423e+06;-7.05043e-07;1.57576e-07
4.10155e+06;4.89074e-07;2.71683e-07
4.10888e+06;8.28021e-08;-1.25057e-07
4.1162e+06;-9.29032e-08;-5.12152e-08
4.12353e+06;5.54485e-08;-1.19742e-07
4.13085e+06;7.97843e-08;2.73432e-07
4.13818e+06;-1.77716e-07;-6.82242e-07
4.1455e+06;-1.46453e-07;8.93896e-07
4.15282e+06;4.59202e-07;-8.38346e-07
4.16015e+06;-9.9296e-07;4.93254e-07
4.16747e+06;7.81626e-07;5.19182e-07
4.1748e+06;3.23173e-07;-4.68319e-07
4.18212e+06;-3.11469e-07;-2.24186e-07
4.18944e+06;1.66304e-07;-1.13187e-07
4.19677e+06;-9.3424e-07;-6.83198e-09
4.20409e+06;7.27584e-07;1.02876e-06
4.21142e+06;3.73266e-07;-8.02439e-07
4.21874e+06;-3.28826e-07;-1.50116e-07
4.22607e+06;-2.05619e-07;3.80224e-07
